date,The Shawshank Redemption 1994,The Dark Knight 2008,Inception 2010,Fight Club 1999,Forrest Gump 1994,isPartial
2023-08-06,0,33,14,10,7,False
2023-08-13,0,30,17,19,0,False
2023-08-20,0,30,16,13,0,False
2023-08-27,0,28,17,13,0,False
2023-09-03,0,31,10,14,0,False
2023-09-10,7,26,12,16,8,False
2023-09-17,0,31,11,11,0,False
2023-09-24,0,26,11,14,8,False
2023-10-01,0,23,13,13,10,False
2023-10-08,0,20,0,24,0,False
2023-10-15,8,15,8,15,9,False
2023-10-22,0,19,14,17,0,False
2023-10-29,0,18,10,16,7,False
2023-11-05,0,22,0,16,0,False
2023-11-12,10,17,9,12,10,False
2023-11-19,0,25,13,13,0,False
2023-11-26,7,20,10,13,10,False
2023-12-03,0,16,14,21,12,False
2023-12-10,0,20,8,19,6,False
2023-12-17,8,26,13,22,0,False
2023-12-24,0,20,13,17,15,False
2023-12-31,7,23,10,22,11,False
2024-01-07,0,22,15,18,12,False
2024-01-14,7,23,14,22,7,False
2024-01-21,0,25,13,30,8,False
2024-01-28,0,29,16,22,0,False
2024-02-04,0,23,13,25,8,False
2024-02-11,8,24,15,22,12,False
2024-02-18,13,19,13,27,0,False
2024-02-25,15,20,14,22,9,False
2024-03-03,0,24,0,22,0,False
2024-03-10,0,29,27,19,17,False
2024-03-17,7,33,23,22,0,False
2024-03-24,0,20,13,19,14,False
2024-03-31,0,20,8,17,0,False
2024-04-07,0,27,10,22,10,False
2024-04-14,13,21,15,23,0,False
2024-04-21,0,22,0,18,9,False
2024-04-28,8,20,15,20,9,False
2024-05-05,0,22,13,25,13,False
2024-05-12,0,18,17,18,11,False
2024-05-19,0,19,14,14,8,False
2024-05-26,0,24,10,24,0,False
2024-06-02,18,32,19,27,28,False
2024-06-09,14,30,20,24,10,False
2024-06-16,13,29,16,27,10,False
2024-06-23,11,23,18,24,19,False
2024-06-30,15,24,12,20,23,False
2024-07-07,0,28,16,20,19,False
2024-07-14,0,29,17,21,16,False
2024-07-21,15,35,16,24,17,False
2024-07-28,0,36,15,29,12,False
2024-08-04,9,32,15,29,18,False
2024-08-11,13,33,21,24,17,False
2024-08-18,9,23,16,29,14,False
2024-08-25,12,20,23,34,10,False
2024-09-01,15,32,20,16,17,False
2024-09-08,12,33,15,28,12,False
2024-09-15,8,35,20,35,12,False
2024-09-22,26,30,13,26,9,False
2024-09-29,0,34,17,30,0,False
2024-10-06,0,36,18,24,13,False
2024-10-13,0,40,23,45,11,False
2024-10-20,9,30,15,33,11,False
2024-10-27,10,36,15,27,13,False
2024-11-03,0,30,16,23,8,False
2024-11-10,11,30,18,28,12,False
2024-11-17,8,29,21,28,17,False
2024-11-24,8,31,21,25,17,False
2024-12-01,15,17,17,21,0,False
2024-12-08,14,30,17,26,12,False
2024-12-15,9,26,19,25,11,False
2024-12-22,0,29,26,34,19,False
2024-12-29,11,38,27,32,30,False
2025-01-05,11,34,18,22,0,False
2025-01-12,9,33,24,34,13,False
2025-01-19,0,34,20,32,11,False
2025-01-26,0,26,14,33,9,False
2025-02-02,0,19,15,39,9,False
2025-02-09,0,28,19,39,0,False
2025-02-16,0,18,25,24,8,False
2025-02-23,0,21,21,29,9,False
2025-03-02,0,24,16,25,13,False
2025-03-09,9,18,15,29,10,False
2025-03-16,0,24,19,44,9,False
2025-03-23,0,22,8,31,0,False
2025-03-30,0,19,15,37,9,False
2025-04-06,0,26,15,24,0,False
2025-04-13,0,24,12,33,11,False
2025-04-20,0,18,12,38,0,False
2025-04-27,8,22,9,28,9,False
2025-05-04,0,27,11,27,10,False
2025-05-11,9,23,18,25,0,False
2025-05-18,9,19,18,29,11,False
2025-05-25,0,14,17,28,9,False
2025-06-01,0,21,11,26,0,False
2025-06-08,0,22,17,40,0,False
2025-06-15,0,27,23,28,0,False
2025-06-22,0,23,0,37,0,False
2025-06-29,0,23,15,35,10,False
2025-07-06,0,25,14,41,9,False
2025-07-13,12,30,15,43,17,False
2025-07-20,0,34,31,37,34,False
2025-07-27,12,52,46,40,36,False
2025-08-03,15,38,54,33,19,False
2025-08-10,9,39,78,46,20,False
2025-08-17,13,43,67,48,22,False
2025-08-24,11,51,66,59,19,False
2025-08-31,0,40,54,51,41,False
2025-09-07,12,32,69,55,52,False
2025-09-14,0,38,52,50,53,False
2025-09-21,0,39,71,46,73,False
2025-09-28,0,37,78,59,100,False
2025-10-05,11,25,59,42,43,False
2025-10-12,8,38,62,59,18,False
2025-10-19,5,23,19,32,8,False
2025-10-26,7,21,16,39,9,False
2025-11-02,0,27,18,31,0,True
