title,title_norm,year,rt_tomato,rt_audience,tomatometer_count,audience_count,tomatometer_status,audience_status
Requiem,requiem,2006.0,86.0,66.0,36.0,4728.0,Fresh,Upright
Gui si (Silk),gui si silk,2006.0,40.0,57.0,5.0,2531.0,Rotten,Spilled
Park,park,2006.0,36.0,48.0,11.0,684.0,Rotten,Spilled
The 4th Dimension,the 4th dimension,2006.0,63.0,31.0,8.0,394.0,Fresh,Spilled
"Bon Cop, Bad Cop",bon cop bad cop,2006.0,78.0,82.0,9.0,20404.0,Fresh,Upright
Amazing Grace,amazing grace,2007.0,67.0,85.0,126.0,54320.0,Fresh,Upright
The Silence,the silence,,50.0,38.0,6.0,374.0,Rotten,Spilled
Cocaine Cowboys,cocaine cowboys,2006.0,69.0,79.0,51.0,77110.0,Fresh,Upright
Gone,gone,2007.0,54.0,20.0,13.0,3329.0,Rotten,Spilled
The Situation,the situation,2006.0,35.0,58.0,48.0,2381.0,Rotten,Spilled
Snow Blind,snow blind,2006.0,20.0,,5.0,,Rotten,
Four Sheets to the Wind,four sheets to the wind,2007.0,100.0,61.0,7.0,519.0,Fresh,Upright
The Tiger's Tail,the tiger s tail,2006.0,14.0,30.0,21.0,660.0,Rotten,Spilled
It's a Boy Girl Thing,it s a boy girl thing,2006.0,67.0,61.0,9.0,30371.0,Fresh,Upright
Slipstream,slipstream,2007.0,25.0,29.0,40.0,3523.0,Rotten,Spilled
Delirious,delirious,2007.0,83.0,57.0,63.0,8464.0,Certified-Fresh,Spilled
Interview,interview,2007.0,58.0,55.0,125.0,25860.0,Rotten,Spilled
American Anthem,american anthem,1986.0,0.0,65.0,16.0,1341.0,Rotten,Upright
The Ten,the ten,2007.0,35.0,40.0,82.0,77951.0,Rotten,Spilled
The Happening,the happening,2008.0,17.0,24.0,183.0,370222.0,Rotten,Spilled
Molière,moli re,2007.0,69.0,79.0,89.0,10937.0,Fresh,Upright
Straightheads (Closure),straightheads closure,2007.0,40.0,32.0,20.0,4645.0,Rotten,Spilled
Borderland,borderland,2007.0,100.0,43.0,8.0,4194.0,Fresh,Spilled
Spiral,spiral,2007.0,55.0,59.0,11.0,9001.0,Rotten,Spilled
Alexandra,alexandra,2007.0,88.0,69.0,59.0,1333.0,Certified-Fresh,Upright
Blood and Tears: The Arab-Israeli Conflict,blood and tears the arab israeli conflict,2007.0,50.0,33.0,6.0,1719.0,Rotten,Spilled
The Cool School,the cool school,2008.0,92.0,63.0,26.0,514.0,Fresh,Upright
Pathology,pathology,2008.0,45.0,39.0,22.0,49454.0,Rotten,Spilled
Disney's A Christmas Carol,disney s a christmas carol,2009.0,52.0,58.0,201.0,776189.0,Rotten,Spilled
Deep Water,deep water,2006.0,96.0,87.0,55.0,4961.0,Certified-Fresh,Upright
Road to Victory,road to victory,2007.0,78.0,78.0,9.0,89.0,Fresh,Upright
Beverly Hills Chihuahua,beverly hills chihuahua,2008.0,40.0,52.0,99.0,186570.0,Rotten,Spilled
Fireflies in the Garden,fireflies in the garden,2011.0,22.0,45.0,54.0,45155.0,Rotten,Spilled
The Eye,the eye,2008.0,21.0,43.0,80.0,303458.0,Rotten,Spilled
Day of the Dead,day of the dead,2008.0,13.0,22.0,8.0,11098.0,Rotten,Spilled
My Best Friend's Girl,my best friend s girl,2008.0,14.0,46.0,59.0,86594.0,Rotten,Spilled
The Burrowers,the burrowers,2008.0,75.0,34.0,12.0,10869.0,Fresh,Spilled
