title,title_norm,year,rt_tomato,rt_audience,tomatometer_count,audience_count,tomatometer_status,audience_status
Another Woman,another woman,1988.0,64.0,75.0,25.0,5502.0,Fresh,Upright
Another Year,another year,2010.0,93.0,74.0,174.0,20675.0,Certified-Fresh,Upright
Another You,another you,1991.0,11.0,34.0,9.0,3155.0,Rotten,Spilled
The Answer Man (Arlen Faber),the answer man arlen faber,2009.0,30.0,42.0,46.0,22935.0,Rotten,Spilled
Answers to Nothing,answers to nothing,2011.0,9.0,36.0,23.0,1650.0,Rotten,Spilled
The Ant Bully,the ant bully,2006.0,62.0,42.0,117.0,88927.0,Fresh,Spilled
Ant-Man and the Wasp,ant man and the wasp,2018.0,87.0,75.0,426.0,24677.0,Certified-Fresh,Upright
Antarctica: A Year on Ice,antarctica a year on ice,2014.0,87.0,81.0,30.0,2718.0,Fresh,Upright
Antarctica: Ice & Sky (La glace et le ciel),antarctica ice sky la glace et le ciel,2017.0,89.0,50.0,28.0,266.0,Fresh,Spilled
Antboy,antboy,2014.0,43.0,36.0,7.0,493.0,Rotten,Spilled
Antebellum,antebellum,2020.0,28.0,56.0,161.0,538.0,Rotten,Spilled
Anthony Jeselnik: Fire in the Maternity Ward,anthony jeselnik fire in the maternity ward,,80.0,,5.0,,Fresh,
Anthony Jeselnik: Thoughts and Prayers,anthony jeselnik thoughts and prayers,,100.0,100.0,5.0,14.0,Fresh,Upright
Anthropoid,anthropoid,2016.0,66.0,71.0,106.0,6553.0,Fresh,Upright
Anti Matter,anti matter,2017.0,88.0,78.0,24.0,3703.0,Fresh,Upright
Antibirth,antibirth,2016.0,70.0,33.0,33.0,484.0,Fresh,Spilled
Antiquities,antiquities,2019.0,100.0,89.0,5.0,83.0,Fresh,Upright
Antisocial,antisocial,,25.0,18.0,8.0,214.0,Rotten,Spilled
Antitrust,antitrust,2001.0,24.0,50.0,106.0,46285.0,Rotten,Spilled
Antiviral,antiviral,2013.0,66.0,40.0,93.0,5962.0,Fresh,Spilled
Ant-Man,ant man,2015.0,83.0,86.0,328.0,166901.0,Certified-Fresh,Upright
Anton Chekhov's The Duel,anton chekhov s the duel,2010.0,81.0,66.0,37.0,321.0,Fresh,Upright
Antonia (Antonia's Line),antonia antonia s line,1995.0,67.0,91.0,49.0,6224.0,Fresh,Upright
Antonio Gaudí,antonio gaud,1986.0,100.0,75.0,17.0,429.0,Fresh,Upright
Antrum: The Deadliest Film Ever Made,antrum the deadliest film ever made,,79.0,46.0,14.0,81.0,Fresh,Spilled
Ants on a Shrimp,ants on a shrimp,2016.0,78.0,52.0,9.0,97.0,Fresh,Spilled
Antwone Fisher,antwone fisher,2002.0,79.0,86.0,151.0,47233.0,Certified-Fresh,Upright
Antz,antz,1998.0,92.0,52.0,93.0,651974.0,Certified-Fresh,Spilled
Anvil! The Story of Anvil,anvil the story of anvil,2009.0,98.0,91.0,139.0,9204.0,Certified-Fresh,Upright
Any Day,any day,2015.0,0.0,20.0,7.0,141.0,Rotten,Spilled
Any Day Now,any day now,2012.0,79.0,76.0,66.0,5727.0,Certified-Fresh,Upright
Any Given Sunday,any given sunday,1999.0,52.0,73.0,124.0,138938.0,Rotten,Upright
Any Number Can Play,any number can play,,14.0,58.0,7.0,23.0,Rotten,Spilled
Any Which Way You Can,any which way you can,1980.0,20.0,45.0,10.0,21121.0,Rotten,Spilled
Anya,anya,,93.0,88.0,14.0,24.0,Fresh,Upright
Standard Time (Anything But Love),standard time anything but love,2002.0,36.0,69.0,36.0,228.0,Rotten,Upright
Anything Else,anything else,2003.0,40.0,44.0,137.0,22066.0,Rotten,Spilled
Anywhere but Here,anywhere but here,2000.0,64.0,55.0,89.0,39737.0,Fresh,Spilled
Anzio (Lo sbarco di Anzio),anzio lo sbarco di anzio,1968.0,67.0,43.0,6.0,2287.0,Fresh,Spilled
Apache,apache,1954.0,78.0,45.0,9.0,7123.0,Fresh,Spilled
Aparajito,aparajito,1956.0,95.0,93.0,19.0,3180.0,Fresh,Upright
Apocalypse Now,apocalypse now,1979.0,98.0,94.0,95.0,286037.0,Certified-Fresh,Upright
Apocalypse Now: Final Cut,apocalypse now final cut,2019.0,100.0,90.0,21.0,81.0,Fresh,Upright
Apocalypse Now Redux,apocalypse now redux,2001.0,93.0,91.0,83.0,3908.0,Certified-Fresh,Upright
Apocalypto,apocalypto,2006.0,66.0,79.0,199.0,442641.0,Fresh,Upright
Apollo 11,apollo 11,2019.0,99.0,90.0,182.0,1027.0,Certified-Fresh,Upright
Apollo 13,apollo 13,1995.0,96.0,87.0,92.0,432986.0,Certified-Fresh,Upright
Apollo 18,apollo 18,2011.0,23.0,23.0,74.0,42470.0,Rotten,Spilled
The Apostle,the apostle,1998.0,90.0,78.0,49.0,8128.0,Certified-Fresh,Upright
Apostle,apostle,2018.0,78.0,54.0,68.0,1301.0,Certified-Fresh,Spilled
Appiness,appiness,,40.0,,5.0,,Rotten,
The Apple Dumpling Gang,the apple dumpling gang,1975.0,56.0,60.0,9.0,11088.0,Rotten,Upright
Applesauce,applesauce,,63.0,61.0,8.0,77.0,Fresh,Upright
The Apprenticeship of Duddy Kravitz,the apprenticeship of duddy kravitz,1974.0,93.0,71.0,14.0,767.0,Fresh,Upright
Approaching the Unknown,approaching the unknown,2016.0,43.0,14.0,21.0,1539.0,Rotten,Spilled
Appropriate Behavior,appropriate behavior,2015.0,97.0,64.0,58.0,1661.0,Certified-Fresh,Upright
Après vous (After You),apr s vous after you,2003.0,58.0,66.0,66.0,3635.0,Rotten,Upright
April and the Extraordinary World (Avril et le monde truqué),april and the extraordinary world avril et le monde truqu,2016.0,96.0,77.0,56.0,3409.0,Certified-Fresh,Upright
April's Shower,april s shower,2004.0,20.0,34.0,15.0,11675.0,Rotten,Spilled
Apt Pupil,apt pupil,1998.0,53.0,56.0,55.0,38531.0,Rotten,Spilled
Aqua Teen Hunger Force Colon Movie Film for Theaters,aqua teen hunger force colon movie film for theaters,2007.0,48.0,68.0,84.0,38957.0,Rotten,Upright
Aquamarine,aquamarine,2006.0,51.0,61.0,89.0,296552.0,Rotten,Upright
Aquaslash,aquaslash,2020.0,29.0,27.0,7.0,11.0,Rotten,Spilled
Aquellos que me Aman Tomarán el Tren,aquellos que me aman tomar n el tren,1999.0,59.0,72.0,17.0,1306.0,Rotten,Upright
Arabian Nights,arabian nights,,82.0,78.0,11.0,2268.0,Fresh,Upright
Arachnophobia,arachnophobia,1990.0,92.0,54.0,38.0,225743.0,Fresh,Spilled
Arbitrage,arbitrage,2012.0,88.0,62.0,169.0,52744.0,Certified-Fresh,Upright
Arcadia,arcadia,,60.0,43.0,5.0,75.0,Fresh,Spilled
Archipelago,archipelago,2014.0,96.0,58.0,24.0,1786.0,Fresh,Spilled
The Architect,the architect,2006.0,11.0,27.0,38.0,1319.0,Rotten,Spilled
Archive,archive,2020.0,71.0,70.0,24.0,200.0,Fresh,Upright
Arctic,arctic,2019.0,90.0,78.0,148.0,1887.0,Certified-Fresh,Upright
Arctic Tale,arctic tale,2007.0,61.0,61.0,98.0,21100.0,Fresh,Upright
Are We Done Yet?,are we done yet,2007.0,8.0,31.0,92.0,29.0,Rotten,Spilled
Are You Here,are you here,2014.0,8.0,22.0,49.0,6546.0,Rotten,Spilled
Argo,argo,2012.0,96.0,90.0,356.0,208711.0,Certified-Fresh,Upright
Aria,aria,1988.0,50.0,47.0,12.0,2273.0,Rotten,Spilled
Aristide and the Endless Revolution,aristide and the endless revolution,2005.0,92.0,84.0,12.0,481.0,Fresh,Upright
The Aristocats,the aristocats,1970.0,64.0,70.0,33.0,273507.0,Fresh,Upright
The Aristocrats,the aristocrats,2005.0,79.0,61.0,150.0,87005.0,Certified-Fresh,Upright
Arizona,arizona,2018.0,43.0,43.0,37.0,259.0,Rotten,Spilled
Arizona Dream,arizona dream,1993.0,87.0,86.0,15.0,25431.0,Fresh,Upright
Arkansas,arkansas,2020.0,47.0,54.0,64.0,233.0,Rotten,Spilled
Arlington Road,arlington road,1999.0,63.0,74.0,91.0,42871.0,Fresh,Upright
Armadillo,armadillo,2011.0,91.0,81.0,53.0,3946.0,Certified-Fresh,Upright
Armageddon,armageddon,1998.0,38.0,73.0,122.0,909649.0,Rotten,Upright
Jackpot,jackpot,2014.0,59.0,55.0,37.0,500.0,Rotten,Spilled
Armed Response,armed response,2017.0,0.0,18.0,12.0,120.0,Rotten,Spilled
Armored,armored,2009.0,40.0,31.0,55.0,205089.0,Rotten,Spilled
Armstrong,armstrong,2019.0,75.0,77.0,20.0,26.0,Fresh,Upright
Army of Crime (L'Armée du Crime),army of crime l arm e du crime,2010.0,88.0,68.0,32.0,2074.0,Fresh,Upright
Army of Darkness,army of darkness,1993.0,73.0,87.0,49.0,218605.0,Fresh,Upright
Army of One,army of one,2016.0,25.0,25.0,12.0,554.0,Rotten,Spilled
Army of Shadows (L'Armée des ombres),army of shadows l arm e des ombres,1969.0,97.0,94.0,75.0,7120.0,Certified-Fresh,Upright
Around the Bend,around the bend,2004.0,29.0,61.0,98.0,4741.0,Rotten,Upright
Around The Block,around the block,2014.0,67.0,39.0,9.0,355.0,Fresh,Spilled
Around the Sun,around the sun,,93.0,80.0,15.0,5.0,Fresh,Upright
Around the World in 80 Days,around the world in 80 days,2004.0,32.0,34.0,128.0,262265.0,Rotten,Spilled
Aroused,aroused,2013.0,31.0,34.0,13.0,790.0,Rotten,Spilled
ARQ,arq,,43.0,46.0,7.0,903.0,Rotten,Spilled
Arranged,arranged,2007.0,64.0,89.0,14.0,2135.0,Fresh,Upright
Arrival,arrival,2016.0,94.0,82.0,426.0,83315.0,Certified-Fresh,Upright
Arsenal,arsenal,2017.0,3.0,17.0,30.0,284.0,Rotten,Spilled
Arsenic and Old Lace,arsenic and old lace,1944.0,81.0,92.0,27.0,45538.0,Fresh,Upright
Art and Craft,art and craft,2014.0,91.0,74.0,46.0,1107.0,Certified-Fresh,Upright
Art Is...The Permanent Revolution,art is the permanent revolution,2012.0,100.0,71.0,6.0,180.0,Fresh,Upright
The Art of Being Straight,the art of being straight,2008.0,38.0,31.0,8.0,324.0,Rotten,Spilled
The Art Of The Steal,the art of the steal,2010.0,85.0,87.0,60.0,1411.0,Certified-Fresh,Upright
Art School Confidential,art school confidential,2006.0,36.0,48.0,138.0,44497.0,Rotten,Spilled
Arthur,arthur,2011.0,27.0,44.0,192.0,45552.0,Rotten,Spilled
Arthur 2: On the Rocks,arthur 2 on the rocks,1988.0,13.0,31.0,23.0,7492.0,Rotten,Spilled
Arthur Christmas,arthur christmas,2011.0,92.0,76.0,168.0,40514.0,Certified-Fresh,Upright
Arthur Miller: Writer,arthur miller writer,2018.0,91.0,60.0,11.0,50.0,Fresh,Upright
Arthur Newman,arthur newman,2013.0,20.0,25.0,51.0,1450.0,Rotten,Spilled
Article 99,article 99,1992.0,43.0,54.0,14.0,2670.0,Rotten,Spilled
Artik,artik,2019.0,100.0,26.0,6.0,23.0,Fresh,Spilled
Artists and Models,artists and models,1955.0,78.0,76.0,9.0,804.0,Fresh,Upright
"As Above, So Below",as above so below,2014.0,26.0,40.0,77.0,22353.0,Rotten,Spilled
As Cool As I Am,as cool as i am,2013.0,14.0,25.0,7.0,559.0,Rotten,Spilled
As Good as It Gets,as good as it gets,1997.0,85.0,86.0,79.0,378698.0,Certified-Fresh,Upright
As I Lay Dying,as i lay dying,2013.0,38.0,36.0,29.0,3641.0,Rotten,Spilled
As If I Am Not There,as if i am not there,2010.0,85.0,78.0,13.0,603.0,Fresh,Upright
Ash Is Purest White,ash is purest white,2019.0,99.0,69.0,152.0,207.0,Certified-Fresh,Upright
Ash Wednesday,ash wednesday,1973.0,9.0,17.0,11.0,277.0,Rotten,Spilled
Ashby,ashby,2015.0,52.0,48.0,21.0,1565.0,Rotten,Spilled
Asher,asher,2018.0,46.0,37.0,13.0,86.0,Rotten,Spilled
Popiól i diament (Ashes and Diamonds),popi l i diament ashes and diamonds,1958.0,95.0,88.0,22.0,3601.0,Fresh,Upright
Ashes in the Snow,ashes in the snow,2019.0,50.0,84.0,14.0,356.0,Rotten,Upright
Ashes of Time Redux,ashes of time redux,2008.0,78.0,75.0,87.0,11235.0,Certified-Fresh,Upright
Ashik Kerib,ashik kerib,1989.0,100.0,78.0,7.0,406.0,Fresh,Upright
Ask No Questions,ask no questions,,100.0,86.0,7.0,14.0,Fresh,Upright
Ask the Dust,ask the dust,2006.0,35.0,41.0,103.0,42288.0,Rotten,Spilled
Asoka,asoka,2001.0,100.0,69.0,10.0,9394.0,Fresh,Upright
Aspen Extreme,aspen extreme,1993.0,22.0,67.0,9.0,7354.0,Rotten,Upright
The Asphalt Jungle,the asphalt jungle,1950.0,97.0,87.0,35.0,7112.0,Fresh,Upright
The Asphyx,the asphyx,1973.0,67.0,44.0,6.0,939.0,Fresh,Spilled
Ass Backwards,ass backwards,2013.0,27.0,17.0,22.0,458.0,Rotten,Spilled
The Assassination Bureau,the assassination bureau,1969.0,75.0,73.0,8.0,1270.0,Fresh,Upright
Assassination Nation,assassination nation,2018.0,74.0,54.0,134.0,1080.0,Fresh,Spilled
Assassination of a High School President,assassination of a high school president,2008.0,50.0,46.0,10.0,99813.0,Rotten,Spilled
The Assassination of Jesse James by the Coward Robert Ford,the assassination of jesse james by the coward robert ford,2007.0,77.0,75.0,175.0,98210.0,Certified-Fresh,Upright
Assassination Tango,assassination tango,2003.0,47.0,32.0,89.0,2193.0,Rotten,Spilled
Assassins,assassins,1995.0,16.0,45.0,50.0,60267.0,Rotten,Spilled
Assassin's Bullet,assassin s bullet,2012.0,7.0,12.0,15.0,425.0,Rotten,Spilled
Assassin's Creed,assassin s creed,2016.0,18.0,43.0,221.0,57442.0,Rotten,Spilled
Assault of the Killer Bimbos,assault of the killer bimbos,,17.0,47.0,6.0,105.0,Rotten,Spilled
Assault on Precinct 13,assault on precinct 13,2005.0,59.0,48.0,165.0,94499.0,Rotten,Spilled
Assault On Wall Street,assault on wall street,2013.0,25.0,42.0,8.0,1653.0,Rotten,Spilled
Assaulted: CIVIL Rights Under Fire,assaulted civil rights under fire,2013.0,60.0,93.0,5.0,215.0,Fresh,Upright
Assisted Living,assisted living,2005.0,76.0,81.0,46.0,687.0,Certified-Fresh,Upright
Astro Boy (AstroBoy),astro boy astroboy,2009.0,50.0,50.0,138.0,148480.0,Rotten,Spilled
Astronaut,astronaut,2019.0,67.0,68.0,52.0,40.0,Fresh,Upright
The Astronaut Farmer,the astronaut farmer,2006.0,58.0,49.0,138.0,283592.0,Rotten,Spilled
The Astronaut's Wife,the astronaut s wife,1999.0,15.0,33.0,59.0,59160.0,Rotten,Spilled
Asylum,asylum,2005.0,36.0,42.0,90.0,11441.0,Rotten,Spilled
At Any Price,at any price,2013.0,51.0,31.0,104.0,4998.0,Rotten,Spilled
At Close Range,at close range,1986.0,87.0,79.0,23.0,8984.0,Fresh,Upright
At Eternity's Gate,at eternity s gate,2018.0,79.0,64.0,182.0,1249.0,Certified-Fresh,Upright
At First Light,at first light,2018.0,54.0,49.0,13.0,71.0,Rotten,Spilled
At Middleton,at middleton,2014.0,61.0,45.0,38.0,2361.0,Fresh,Spilled
At The Devil's Door,at the devil s door,2014.0,43.0,21.0,23.0,2391.0,Rotten,Spilled
At the Earth's Core,at the earth s core,1976.0,33.0,34.0,9.0,2859.0,Rotten,Spilled
Atanarjuat: The Fast Runner (Atanarjuat),atanarjuat the fast runner atanarjuat,2002.0,91.0,82.0,98.0,5501.0,Certified-Fresh,Upright
ATL,atl,2006.0,62.0,86.0,86.0,117127.0,Fresh,Upright
Atlantic City,atlantic city,1980.0,100.0,77.0,33.0,5228.0,Fresh,Upright
Atlantics,atlantics,2019.0,96.0,71.0,152.0,91.0,Certified-Fresh,Upright
Atlantis - The Lost Empire,atlantis the lost empire,2001.0,49.0,53.0,143.0,365648.0,Rotten,Spilled
Atlas Shrugged: Part I,atlas shrugged part i,2011.0,12.0,69.0,52.0,16985.0,Rotten,Upright
Atlas Shrugged: Part II,atlas shrugged part ii,2012.0,4.0,60.0,23.0,12870.0,Rotten,Upright
Atlas Shrugged: Who Is John Galt?,atlas shrugged who is john galt,2014.0,0.0,40.0,10.0,4253.0,Rotten,Spilled
ATM,atm,2012.0,12.0,23.0,26.0,10064.0,Rotten,Spilled
Atomic Blonde,atomic blonde,2017.0,78.0,64.0,356.0,34635.0,Certified-Fresh,Upright
The Atomic Cafe,the atomic cafe,1982.0,93.0,85.0,29.0,2518.0,Fresh,Upright
Atonement,atonement,2007.0,83.0,80.0,217.0,227149.0,Certified-Fresh,Upright
Atrocious,atrocious,2011.0,56.0,29.0,18.0,995.0,Rotten,Spilled
Attack of the Killer Tomatoes!,attack of the killer tomatoes,1978.0,27.0,42.0,11.0,34705.0,Rotten,Spilled
Attack of the Lederhosen Zombies,attack of the lederhosen zombies,2017.0,55.0,38.0,11.0,140.0,Rotten,Spilled
Attack On Titan: Part 2 (Shingeki no kyojin endo obu za warudo),attack on titan part 2 shingeki no kyojin endo obu za warudo,2015.0,50.0,36.0,8.0,2327.0,Rotten,Spilled
Attack the Block,attack the block,2011.0,90.0,75.0,179.0,33998.0,Certified-Fresh,Upright
Attenberg,attenberg,2012.0,78.0,53.0,45.0,2350.0,Certified-Fresh,Spilled
Attraction,attraction,2001.0,0.0,10.0,7.0,135.0,Rotten,Spilled
Attraction (Prityazhenie),attraction prityazhenie,,36.0,52.0,11.0,131.0,Rotten,Spilled
Audience of One,audience of one,2007.0,82.0,78.0,11.0,363.0,Fresh,Upright
Audition (Ôdishon),audition dishon,1999.0,82.0,80.0,77.0,56705.0,Certified-Fresh,Upright
Audrey Rose,audrey rose,1977.0,50.0,43.0,16.0,7440.0,Rotten,Spilled
Audrie & Daisy,audrie daisy,,81.0,73.0,16.0,523.0,Fresh,Upright
Auggie,auggie,2019.0,80.0,73.0,15.0,11.0,Fresh,Upright
August: Osage County,august osage county,2013.0,67.0,65.0,203.0,39138.0,Fresh,Upright
August Rush,august rush,2007.0,37.0,82.0,123.0,229259.0,Rotten,Upright
Augustine,augustine,2013.0,73.0,52.0,37.0,560.0,Fresh,Spilled
Auntie Mame,auntie mame,1958.0,93.0,93.0,15.0,8232.0,Fresh,Upright
Aurora,aurora,2011.0,77.0,57.0,30.0,660.0,Fresh,Spilled
Austenland,austenland,2013.0,31.0,54.0,112.0,9238.0,Rotten,Spilled
Austin Powers in Goldmember,austin powers in goldmember,2002.0,53.0,44.0,187.0,32935203.0,Rotten,Spilled
Austin Powers: International Man of Mystery,austin powers international man of mystery,1997.0,71.0,77.0,63.0,848324.0,Fresh,Upright
Austin Powers: The Spy Who Shagged Me,austin powers the spy who shagged me,1999.0,52.0,71.0,90.0,942294.0,Rotten,Upright
Australia,australia,2008.0,55.0,65.0,222.0,261514.0,Rotten,Upright
Australia: Land Beyond Time,australia land beyond time,2002.0,86.0,43.0,7.0,610.0,Fresh,Spilled
Lasseter's Bones,lasseter s bones,2016.0,88.0,66.0,8.0,283.0,Fresh,Upright
Author: The JT LeRoy Story,author the jt leroy story,2016.0,77.0,62.0,91.0,471.0,Certified-Fresh,Upright
Authors Anonymous,authors anonymous,2014.0,7.0,15.0,14.0,572.0,Rotten,Spilled
Auto Focus,auto focus,2002.0,71.0,61.0,164.0,6012.0,Fresh,Upright
Autómata,aut mata,2014.0,29.0,30.0,34.0,7142.0,Rotten,Spilled
Autumn Blood,autumn blood,2014.0,20.0,37.0,5.0,137.0,Rotten,Spilled
Autumn in New York,autumn in new york,2000.0,19.0,54.0,72.0,33526.0,Rotten,Spilled
Autumn Lights,autumn lights,2016.0,14.0,83.0,7.0,193.0,Rotten,Upright
Höstsonaten (Autumn Sonata),h stsonaten autumn sonata,1978.0,84.0,92.0,25.0,7250.0,Fresh,Upright
Autumn Spring (Babí léto),autumn spring bab l to,2003.0,97.0,84.0,38.0,1287.0,Fresh,Upright
Avanti!,avanti,1972.0,81.0,76.0,21.0,3302.0,Fresh,Upright
Ava's Possessions,ava s possessions,2016.0,69.0,41.0,16.0,315.0,Fresh,Spilled
Avatar,avatar,2009.0,82.0,82.0,317.0,1382566.0,Certified-Fresh,Upright
Avenged,avenged,2015.0,88.0,37.0,8.0,279.0,Fresh,Spilled
Avengement,avengement,2019.0,84.0,65.0,19.0,171.0,Fresh,Upright
Avengers: Age of Ultron,avengers age of ultron,2015.0,76.0,83.0,367.0,288708.0,Certified-Fresh,Upright
Avengers: Endgame,avengers endgame,2019.0,94.0,90.0,528.0,70334.0,Certified-Fresh,Upright
Avengers: Infinity War,avengers infinity war,2018.0,85.0,91.0,472.0,58720.0,Certified-Fresh,Upright
The Aviator,the aviator,2004.0,86.0,79.0,224.0,207578.0,Certified-Fresh,Upright
Aliens vs. Predator: Requiem (AVP 2),aliens vs predator requiem avp 2,2007.0,12.0,30.0,77.0,212379.0,Rotten,Spilled
Await Further Instructions,await further instructions,2018.0,80.0,28.0,20.0,634.0,Fresh,Spilled
Awake,awake,2007.0,24.0,54.0,63.0,237790.0,Rotten,Spilled
Awake,awake,,14.0,37.0,7.0,27.0,Rotten,Spilled
Awake: The Life Of Yogananda,awake the life of yogananda,2014.0,64.0,70.0,11.0,640.0,Fresh,Upright
Awakening the Zodiac,awakening the zodiac,2017.0,42.0,33.0,12.0,371.0,Rotten,Spilled
Away From Her,away from her,2007.0,94.0,81.0,145.0,114766.0,Certified-Fresh,Upright
Away We Go,away we go,2009.0,68.0,74.0,188.0,59441.0,Fresh,Upright
Awful Nice,awful nice,2014.0,22.0,38.0,9.0,226.0,Rotten,Spilled
The Awful Truth,the awful truth,1937.0,93.0,87.0,29.0,7597.0,Fresh,Upright
An Awfully Big Adventure,an awfully big adventure,1995.0,36.0,56.0,14.0,5010.0,Rotten,Spilled
AWOL,awol,2017.0,93.0,57.0,15.0,249.0,Fresh,Spilled
A.X.L.,a x l,2018.0,27.0,60.0,22.0,789.0,Rotten,Upright
Axolotl Overkill,axolotl overkill,,64.0,14.0,11.0,68.0,Fresh,Spilled
Ayn Rand: A Sense of Life,ayn rand a sense of life,1998.0,50.0,67.0,12.0,862.0,Rotten,Upright
Ayurveda: the Art of Being,ayurveda the art of being,2002.0,57.0,79.0,14.0,389.0,Rotten,Upright
Aziz Ansari: Buried Alive,aziz ansari buried alive,2013.0,100.0,50.0,6.0,8.0,Fresh,Spilled
Aziz Ansari: Live At Madison Square Garden,aziz ansari live at madison square garden,2015.0,,,,,,
Aziz Ansari: Right Now,aziz ansari right now,,84.0,74.0,31.0,89.0,Certified-Fresh,Upright
Baadasssss!,baadasssss,2003.0,91.0,84.0,109.0,4958.0,Certified-Fresh,Upright
Der Baader Meinhof Komplex (The Baader Meinhof Complex),der baader meinhof komplex the baader meinhof complex,2008.0,85.0,80.0,100.0,16127.0,Certified-Fresh,Upright
Baarìa,baar a,2009.0,55.0,50.0,11.0,1220.0,Rotten,Spilled
Babe: Pig in the City,babe pig in the city,1998.0,65.0,41.0,65.0,64012.0,Fresh,Spilled
Babel,babel,2006.0,69.0,77.0,200.0,377310.0,Fresh,Upright
Babes in Arms,babes in arms,1939.0,83.0,70.0,6.0,1202.0,Fresh,Upright
Babette's Feast (Babettes Gæstebud),babette s feast babettes g stebud,1987.0,97.0,91.0,32.0,9311.0,Fresh,Upright
Baby Boom,baby boom,1987.0,76.0,62.0,33.0,28450.0,Fresh,Upright
Baby Boy,baby boy,2001.0,71.0,87.0,92.0,62674.0,Fresh,Upright
Baby Doll,baby doll,1956.0,94.0,82.0,16.0,2558.0,Fresh,Upright
Baby Driver,baby driver,2017.0,92.0,86.0,384.0,63169.0,Certified-Fresh,Upright
Baby Face,baby face,1933.0,100.0,81.0,14.0,3414.0,Fresh,Upright
Baby Geniuses,baby geniuses,1999.0,2.0,24.0,45.0,82200.0,Rotten,Spilled
Baby It's You,baby it s you,1983.0,94.0,71.0,17.0,478.0,Fresh,Upright
Baby Mama,baby mama,2008.0,64.0,55.0,165.0,374701.0,Fresh,Spilled
Baby: Secret of the Lost Legend,baby secret of the lost legend,1985.0,13.0,38.0,16.0,6490.0,Rotten,Spilled
"Baby, the Rain Must Fall",baby the rain must fall,1965.0,60.0,41.0,5.0,491.0,Fresh,Spilled
Babyfever,babyfever,1994.0,36.0,,11.0,,Rotten,
Babylon,babylon,2019.0,100.0,41.0,30.0,129.0,Fresh,Spilled
Babylon A.D.,babylon a d,2008.0,6.0,26.0,104.0,152244.0,Rotten,Spilled
Baby's Day Out,baby s day out,1994.0,20.0,52.0,15.0,186247.0,Rotten,Spilled
The Babysitters,the babysitters,2008.0,33.0,30.0,27.0,3709.0,Rotten,Spilled
The Baby-Sitters Club,the baby sitters club,1995.0,67.0,47.0,15.0,9969.0,Fresh,Spilled
Babysplitters,babysplitters,,69.0,89.0,16.0,103.0,Fresh,Upright
Babyteeth,babyteeth,2020.0,94.0,84.0,130.0,108.0,Certified-Fresh,Upright
Bachelorette,bachelorette,2012.0,56.0,34.0,101.0,17962.0,Rotten,Spilled
Bachna Ae Haseeno,bachna ae haseeno,2008.0,63.0,56.0,8.0,3207.0,Fresh,Spilled
Back to School,back to school,1986.0,86.0,68.0,35.0,33134.0,Fresh,Upright
Black Girl (La noire de...),black girl la noire de,1966.0,96.0,77.0,27.0,653.0,Fresh,Upright
Back in the Day,back in the day,2014.0,11.0,47.0,9.0,426.0,Rotten,Spilled
Back Roads,back roads,2018.0,55.0,99.0,29.0,1915.0,Rotten,Upright
Back to 1942,back to 1942,2012.0,36.0,62.0,11.0,549.0,Rotten,Upright
Back to Burgundy (Ce qui nous lie),back to burgundy ce qui nous lie,2018.0,73.0,64.0,45.0,129.0,Fresh,Upright
Back to the Beach,back to the beach,1987.0,71.0,63.0,14.0,8037.0,Fresh,Upright
Back to the Future,back to the future,1985.0,96.0,94.0,84.0,1095020.0,Certified-Fresh,Upright
Back to the Future Part II,back to the future part ii,1989.0,66.0,85.0,61.0,750243.0,Fresh,Upright
Back to the Future Part III,back to the future part iii,1990.0,80.0,78.0,45.0,694736.0,Certified-Fresh,Upright
The Back-up Plan,the back up plan,2010.0,18.0,46.0,147.0,135545.0,Rotten,Spilled
Backcountry,backcountry,2015.0,92.0,53.0,50.0,2926.0,Certified-Fresh,Spilled
Backdraft 2,backdraft 2,,40.0,16.0,5.0,88.0,Rotten,Spilled
Backgammon,backgammon,2016.0,0.0,60.0,6.0,31.0,Rotten,Upright
Backstabbing for Beginners,backstabbing for beginners,2018.0,38.0,49.0,24.0,184.0,Rotten,Spilled
Backtrace,backtrace,2018.0,11.0,23.0,9.0,98.0,Rotten,Spilled
Backtrack,backtrack,,30.0,22.0,40.0,89.0,Rotten,Spilled
Backwards,backwards,2012.0,28.0,52.0,18.0,445.0,Rotten,Spilled
The Bad and the Beautiful,the bad and the beautiful,1953.0,79.0,86.0,48.0,4156.0,Certified-Fresh,Upright
Bad Ass,bad ass,2012.0,20.0,39.0,5.0,6767.0,Rotten,Spilled
Bad Blood: The Movie,bad blood the movie,2017.0,100.0,79.0,5.0,64.0,Fresh,Upright
Bad Boy Bubby,bad boy bubby,2005.0,100.0,88.0,9.0,8039.0,Fresh,Upright
Bad Boys,bad boys,1982.0,89.0,81.0,19.0,61585.0,Fresh,Upright
Bad Boys for Life,bad boys for life,2020.0,77.0,96.0,257.0,42965.0,Certified-Fresh,
Bad Boys II,bad boys ii,2003.0,23.0,78.0,184.0,501951.0,Rotten,Upright
Bad Company,bad company,2002.0,10.0,35.0,136.0,56694.0,Rotten,Spilled
Bad Day at Black Rock,bad day at black rock,1955.0,97.0,88.0,31.0,5837.0,Fresh,Upright
Bad Day for the Cut,bad day for the cut,2017.0,92.0,70.0,13.0,431.0,Fresh,Upright
Bad Education,bad education,2004.0,88.0,86.0,146.0,46226.0,Certified-Fresh,Upright
